label,CFU,batch,logCFU,KO,empty,complement
KO,424092.4092,1,5.627460499123099,1,0,0
KO,122362.8692,1,5.087649651894843,1,0,0
KO,451790.6336,1,5.654937223003111,1,0,0
KO,894444.4444,1,5.9515533709069635,1,0,0
KO,676767.6768,1,5.830439608124019,1,0,0
KO,2888888.889,2,6.460730838548197,1,0,0
KO,4072164.948,2,6.609825361311838,1,0,0
KO,1972789.116,2,6.295080663228654,1,0,0
KO,2387706.856,2,6.37798100644544,1,0,0
KO,1879432.624,2,6.2740267612552065,1,0,0
WT,1496078.431,1,6.174954361748798,0,0,0
WT,971988.7955,1,5.9876612586705455,0,0,0
WT,1614790.287,1,6.208116128455028,0,0,0
WT,633333.3333,1,5.801632346210309,0,0,0
WT,1228174.603,1,6.089260112512851,0,0,0
WT,4888888.889,2,6.689210167056733,0,0,0
WT,3486394.558,2,6.542376535001648,0,0,0
WT,4146981.627,2,6.617732111247743,0,0,0
WT,5981087.47,2,6.7767801537681605,0,0,0
WT,3126843.658,2,6.49510616708709,0,0,0
complement,3288288.288,3,6.516969885631742,0,0,1
complement,4272300.469,3,6.6306617888332,0,0,1
complement,2897435.897,3,6.462013836391584,0,0,1
complement,2933333.333,3,6.467361417381155,0,0,1
complement,1450396.825,3,6.161486840393513,0,0,1
complement,673245.614,4,5.828173532790117,0,0,1
complement,3542857.143,4,6.549353640829471,0,0,1
complement,2996941.896,4,6.476678323028664,0,0,1
complement,716475.0958,4,5.855201099207044,0,0,1
complement,552631.5789,4,5.742435698079884,0,0,1
empty,741496.5986,3,5.870109163169339,0,1,0
empty,2788461.538,3,6.445364658528293,0,1,0
empty,402061.8557,3,5.604292872792548,0,1,0
empty,434156.3786,3,5.637646186034576,0,1,0
empty,723300.9709,3,5.85931904805886,0,1,0
empty,794117.6471,4,5.899884847139251,0,1,0
empty,1256097.561,4,6.099023372329889,0,1,0
empty,392694.0639,4,5.594054336373655,0,1,0
empty,736394.5578,4,5.867110570263586,0,1,0
empty,671428.5714,4,5.82699981790298,0,1,0
