label,CFU,batch,logCFU
KO,852564.1026,1,5.93072704263091
KO,666666.6667,1,5.823908740966034
KO,757894.7368,1,5.879608891118293
KO,618618.6186,1,5.791422986849763
KO,973856.2092,1,5.988494837616827
KO,792452.8302,2,5.8989734208033155
KO,909090.9091,2,5.958607314846118
KO,712962.963,2,5.853066969708093
KO,2199312.715,2,6.3422869850420875
KO,4719471.947,2,6.6738934089448385
KO,1966666.667,3,6.293730756996091
KO,1561181.435,3,6.1934533781684
KO,2311111.111,3,6.3638208255025575
KO,1652173.913,3,6.218055760587789
KO,4781144.781,3,6.679531895052693
KO,3958333.333,4,6.59751236354067
KO,3495145.631,4,6.54346527605367
KO,5555555.556,4,6.744727494931437
KO,1858974.359,4,6.269273399550484
KO,4781145,4,6.679531914945521
WT,4750000,1,6.676693609624866
WT,2000000,1,6.301029995663981
WT,2166666.667,1,6.335792101990008
WT,4927536.232,1,6.692629826315218
WT,5714285.714,1,6.7569619512919905
WT,2166666.667,2,6.335792101990008
WT,1840000,2,6.264817823009537
WT,1111111.111,2,6.0457574905172455
WT,1555555.556,2,6.191885526362998
WT,1216666.667,2,6.085171609855797
WT,7142857.143,3,6.853871964330448
WT,4743589.744,3,6.676107121414075
WT,10571428.57,3,7.024133679658031
WT,4444444.444,3,6.647817481845208
WT,3742138.365,3,6.573119841433645
WT,6977777.778,4,6.843717134311702
WT,5761904.762,4,6.7605660755897095
WT,7073170.732,4,6.849614141197192
WT,2526041.667,4,6.402440509956023
WT,3742138,4,6.573119799073508
complement,662162.1622,5,5.820964360322354
complement,569230.7692,5,5.755288367400664
complement,154166.6667,5,5.18799048244929
complement,565040.6504,5,5.752079693145717
complement,307692.3077,5,5.488116639031983
complement,2572769.953,6,6.410400955036914
complement,2552380.952,6,6.406945494894031
complement,2963768.116,6,6.4718442216146
complement,3078014.184,6,6.488270616801093
complement,2059701.493,6,6.313804283797969
complement,2248587.571,7,6.351909805784991
complement,1334666.667,7,6.1253728141960835
complement,1154970.76,7,6.062570989482367
complement,1805232.558,7,6.256533157571481
complement,1340206.186,7,6.127171618180903
complement,1762254.902,8,6.246068727302667
complement,1983333.333,8,6.297395710935897
complement,1951282.051,8,6.290320049681298
complement,1723214.286,8,6.236339286409599
complement,1592592.593,8,6.202104691531698
empty,439814.8148,5,5.643269854123288
empty,588652.4823,5,5.769858979743193
empty,699530.5164,5,5.844806664953716
empty,682051.2821,5,5.833817029635589
empty,628415.3005,5,5.798246750591082
empty,3424242.424,6,6.534564503574786
empty,3294871.795,6,6.517838520657713
empty,2508333.333,6,6.399385249488505
empty,2833333.333,6,6.452297670943537
empty,1500000,6,6.176091259055681
empty,1888429.752,7,6.276100834074214
empty,1396057.348,7,6.144903258837566
empty,2527777.778,7,6.402738891591986
empty,2357575.758,7,6.372465657189952
empty,1223958.333,7,6.0877666334499105
empty,1144607.843,8,6.058656717424154
empty,1784482.759,8,6.251512356322313
empty,2752192.982,8,6.439678883080643
empty,1825757.576,8,6.261443111426684
empty,1539115.646,8,6.187271253056123
